,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
1239,Aaron Gordon,50,1384,0.463,0.335,0.533,0.651,284.0,161.0,33.0,34.0,97.0,2.0
1240,Eric Gordon,27,789,0.433,0.329,0.573,0.825,58.0,71.0,14.0,13.0,51.0,2.0
1241,Devonte' Graham,55,1659,0.377,0.375,0.38,0.842,148.0,295.0,48.0,6.0,84.0,2.0
1242,Jerami Grant,54,1829,0.429,0.35,0.473,0.845,250.0,152.0,35.0,58.0,109.0,2.0
1243,Danny Green,69,1934,0.412,0.405,0.438,0.775,260.0,118.0,92.0,56.0,67.0,2.0
1244,Draymond Green,63,1982,0.447,0.27,0.535,0.795,449.0,558.0,105.0,52.0,188.0,2.0
1245,JaMychal Green,58,1120,0.463,0.399,0.534,0.807,277.0,53.0,26.0,22.0,53.0,2.0
1246,Javonte Green,41,473,0.52,0.333,0.597,0.75,71.0,17.0,28.0,6.0,19.0,2.0
1247,Jeff Green,68,1835,0.492,0.412,0.564,0.776,263.0,108.0,36.0,27.0,54.0,2.0
1248,Josh Green,39,445,0.452,0.16,0.559,0.565,78.0,28.0,16.0,3.0,17.0,2.0
1249,Blake Griffin,46,1186,0.423,0.341,0.505,0.744,225.0,140.0,32.0,15.0,62.0,2.0
1250,Kyle Guy,31,235,0.33,0.283,0.381,0.8,35.0,32.0,6.0,0.0,11.0,2.0
1251,Rui Hachimura,57,1797,0.478,0.328,0.519,0.77,312.0,82.0,44.0,7.0,68.0,2.0
1252,Ashton Hagans,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
1253,Tyrese Haliburton,58,1746,0.472,0.409,0.529,0.857,173.0,309.0,77.0,28.0,92.0,2.0
1254,Donta Hall,13,179,0.714,0.0,0.714,0.676,62.0,11.0,5.0,10.0,8.0,2.0
1255,Josh Hall,21,336,0.303,0.108,0.419,0.5,59.0,28.0,4.0,1.0,25.0,2.0
1256,R.J. Hampton,51,888,0.435,0.31,0.482,0.671,179.0,87.0,21.0,10.0,53.0,2.0
1257,Tim Hardaway Jr.,70,1985,0.447,0.391,0.524,0.816,229.0,126.0,31.0,11.0,64.0,2.0
1258,James Harden,44,1609,0.466,0.362,0.553,0.861,348.0,475.0,53.0,33.0,177.0,2.0
1259,Maurice Harkless,37,772,0.418,0.274,0.568,0.767,89.0,44.0,30.0,20.0,22.0,2.0
1260,Jared Harper,8,16,0.0,0.0,0.0,0.75,2.0,1.0,0.0,0.0,3.0,2.0
1261,Montrezl Harrell,69,1580,0.622,0.0,0.632,0.707,428.0,73.0,46.0,49.0,74.0,2.0
1262,Gary Harris,39,1080,0.4,0.34,0.441,0.821,79.0,78.0,28.0,11.0,37.0,2.0
1263,Jalen Harris,13,172,0.5,0.472,0.528,0.778,18.0,17.0,8.0,0.0,14.0,2.0
1264,Joe Harris,69,2141,0.505,0.475,0.555,0.778,248.0,130.0,46.0,14.0,62.0,2.0
1265,Tobias Harris,62,2014,0.512,0.394,0.546,0.892,419.0,220.0,55.0,51.0,107.0,2.0
1266,Shaquille Harrison,34,333,0.333,0.188,0.371,0.818,48.0,25.0,17.0,5.0,11.0,2.0
1267,Josh Hart,47,1349,0.439,0.326,0.583,0.775,377.0,109.0,38.0,12.0,49.0,2.0
1268,Isaiah Hartenstein,46,559,0.55,0.333,0.558,0.648,181.0,55.0,19.0,39.0,44.0,2.0
1269,Udonis Haslem,1,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
1270,Jaxson Hayes,60,964,0.625,0.429,0.635,0.775,257.0,35.0,25.0,38.0,39.0,2.0
1271,Killian Hayes,26,670,0.353,0.278,0.395,0.824,69.0,138.0,27.0,10.0,83.0,2.0
1272,Gordon Hayward,44,1496,0.473,0.415,0.499,0.843,258.0,181.0,52.0,14.0,91.0,2.0
1273,Juan Hernangómez,52,900,0.435,0.327,0.573,0.619,205.0,35.0,19.0,7.0,27.0,2.0
1274,Willy Hernangómez,47,846,0.563,0.1,0.581,0.667,334.0,50.0,22.0,23.0,34.0,2.0
1275,Tyler Herro,54,1635,0.439,0.36,0.498,0.803,268.0,184.0,35.0,17.0,101.0,2.0
1276,Buddy Hield,71,2433,0.406,0.391,0.446,0.846,334.0,257.0,63.0,30.0,130.0,2.0
1277,George Hill,30,672,0.482,0.388,0.547,0.8,61.0,73.0,23.0,5.0,31.0,2.0
1278,Solomon Hill,71,1513,0.359,0.321,0.453,0.761,214.0,75.0,50.0,11.0,42.0,2.0
1279,Nate Hinton,21,93,0.357,0.211,0.478,0.7,9.0,8.0,7.0,2.0,5.0,2.0
1280,Jaylen Hoard,19,320,0.5,0.0,0.571,0.683,65.0,24.0,13.0,5.0,17.0,2.0
1281,Aaron Holiday,66,1176,0.39,0.368,0.406,0.819,89.0,123.0,46.0,13.0,66.0,2.0
1282,Jrue Holiday,59,1907,0.503,0.392,0.561,0.787,268.0,357.0,96.0,37.0,127.0,2.0
1283,Justin Holiday,72,2183,0.413,0.382,0.494,0.788,256.0,119.0,74.0,41.0,54.0,2.0
1284,Rondae Hollis-Jefferson,11,107,0.5,0.0,0.529,0.563,26.0,13.0,2.0,4.0,2.0,2.0
1285,Richaun Holmes,61,1782,0.637,0.182,0.645,0.794,504.0,101.0,39.0,96.0,75.0,2.0
1286,Rodney Hood,55,942,0.362,0.301,0.408,0.857,103.0,53.0,24.0,7.0,36.0,2.0
1287,Al Horford,28,782,0.45,0.368,0.51,0.818,188.0,94.0,25.0,26.0,29.0,2.0
1288,Talen Horton-Tucker,65,1304,0.458,0.282,0.522,0.775,169.0,181.0,63.0,21.0,105.0,2.0
1289,Danuel House,36,932,0.404,0.346,0.483,0.651,132.0,69.0,20.0,16.0,36.0,2.0
1290,Dwight Howard,69,1196,0.587,0.25,0.611,0.576,580.0,61.0,30.0,62.0,112.0,2.0
1291,Markus Howard,37,205,0.377,0.277,0.537,0.778,21.0,18.0,4.0,1.0,18.0,2.0
1292,Kevin Huerter,69,2126,0.432,0.363,0.51,0.781,231.0,241.0,82.0,18.0,79.0,2.0
1293,Elijah Hughes,18,64,0.333,0.348,0.286,0.75,9.0,6.0,1.0,1.0,6.0,2.0
1294,De'Andre Hunter,23,678,0.484,0.326,0.582,0.859,110.0,44.0,19.0,12.0,29.0,2.0
1295,Chandler Hutchison,25,346,0.379,0.364,0.383,0.84,78.0,17.0,12.0,5.0,20.0,2.0
1296,Serge Ibaka,41,955,0.51,0.339,0.588,0.811,275.0,74.0,9.0,47.0,44.0,2.0
1297,Andre Iguodala,63,1339,0.383,0.33,0.53,0.658,221.0,142.0,57.0,35.0,67.0,2.0
1298,Ersan İlyasova,17,148,0.389,0.439,0.231,1.0,29.0,4.0,10.0,3.0,8.0,2.0
1299,Joe Ingles,67,1867,0.489,0.451,0.59,0.844,244.0,318.0,45.0,12.0,117.0,2.0
1300,Brandon Ingram,61,2093,0.466,0.381,0.51,0.878,299.0,296.0,42.0,36.0,154.0,2.0
1301,Kyrie Irving,54,1886,0.506,0.402,0.561,0.922,257.0,324.0,76.0,37.0,130.0,2.0
1302,Wesley Iwundu,41,539,0.333,0.122,0.475,0.839,90.0,18.0,15.0,4.0,19.0,2.0
1303,Frank Jackson,40,738,0.457,0.407,0.51,0.813,86.0,36.0,15.0,1.0,34.0,2.0
1304,Jaren Jackson Jr.,11,258,0.424,0.283,0.554,0.833,62.0,12.0,12.0,18.0,15.0,2.0
1305,Josh Jackson,62,1560,0.419,0.3,0.487,0.729,254.0,143.0,53.0,47.0,142.0,2.0
1306,Justin Jackson,34,577,0.403,0.308,0.51,0.838,77.0,52.0,15.0,2.0,32.0,2.0
1307,Reggie Jackson,67,1544,0.45,0.433,0.465,0.817,192.0,205.0,41.0,7.0,74.0,2.0
1308,Justin James,36,310,0.468,0.368,0.521,0.583,30.0,22.0,8.0,3.0,15.0,2.0
1309,LeBron James,45,1504,0.513,0.365,0.591,0.698,346.0,350.0,48.0,25.0,168.0,2.0
1310,Mike James,13,236,0.37,0.355,0.377,0.778,32.0,54.0,6.0,1.0,20.0,2.0
1311,DaQuan Jeffries,31,493,0.417,0.299,0.566,0.875,71.0,22.0,15.0,10.0,14.0,2.0
1312,Ty Jerome,33,788,0.446,0.423,0.479,0.765,91.0,120.0,20.0,6.0,47.0,2.0
1313,Isaiah Joe,41,383,0.361,0.368,0.333,0.75,36.0,20.0,12.0,4.0,11.0,2.0
1314,Alize Johnson,18,189,0.588,0.167,0.629,1.0,90.0,14.0,5.0,5.0,9.0,2.0
1315,Cameron Johnson,60,1437,0.42,0.349,0.581,0.847,199.0,86.0,37.0,16.0,40.0,2.0
