,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
0,Álex Abrines,31,588,0.357,0.323,0.5,0.923,48.0,20.0,17.0,6.0,14.0,17.0
1,Quincy Acy,10,123,0.222,0.133,0.667,0.7,25.0,8.0,1.0,4.0,4.0,17.0
2,Jaylen Adams,34,428,0.345,0.338,0.361,0.778,60.0,65.0,14.0,5.0,28.0,17.0
3,Steven Adams,80,2669,0.595,0.0,0.596,0.5,760.0,124.0,117.0,76.0,135.0,17.0
4,Bam Adebayo,82,1913,0.576,0.2,0.588,0.735,597.0,184.0,71.0,65.0,121.0,17.0
5,Deng Adel,19,194,0.306,0.261,0.385,1.0,19.0,5.0,1.0,4.0,6.0,17.0
6,DeVaughn Akoon-Purcell,7,22,0.3,0.0,0.5,0.5,4.0,6.0,2.0,0.0,2.0,17.0
7,LaMarcus Aldridge,81,2687,0.519,0.238,0.528,0.847,744.0,194.0,43.0,107.0,144.0,17.0
8,Rawle Alkins,10,120,0.333,0.25,0.37,0.667,26.0,13.0,1.0,0.0,8.0,17.0
9,Grayson Allen,38,416,0.376,0.323,0.443,0.75,23.0,25.0,6.0,6.0,33.0,17.0
10,Jarrett Allen,80,2096,0.59,0.133,0.629,0.709,672.0,110.0,43.0,120.0,103.0,17.0
11,Kadeem Allen,19,416,0.461,0.472,0.457,0.778,51.0,76.0,16.0,4.0,26.0,17.0
12,Al-Farouq Aminu,81,2292,0.433,0.343,0.514,0.867,610.0,104.0,68.0,33.0,72.0,17.0
13,Justin Anderson,48,463,0.408,0.312,0.5,0.743,84.0,23.0,22.0,13.0,23.0,17.0
14,Kyle Anderson,43,1281,0.543,0.265,0.583,0.578,251.0,128.0,54.0,37.0,58.0,17.0
15,Ryan Anderson,25,322,0.304,0.225,0.414,0.75,54.0,19.0,4.0,1.0,14.0,17.0
16,Ike Anigbogu,3,6,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,17.0
17,Giannis Antetokounmpo,72,2358,0.578,0.256,0.641,0.729,898.0,424.0,92.0,110.0,268.0,17.0
18,Kostas Antetokounmpo,2,11,0.0,0.0,0.0,0.5,1.0,0.0,2.0,0.0,1.0,17.0
19,Carmelo Anthony,10,294,0.405,0.328,0.491,0.682,54.0,5.0,4.0,7.0,8.0,17.0
20,OG Anunoby,67,1352,0.453,0.332,0.574,0.581,197.0,47.0,46.0,22.0,55.0,17.0
21,Ryan Arcidiacono,81,1961,0.447,0.373,0.527,0.873,219.0,269.0,65.0,4.0,63.0,17.0
22,Trevor Ariza,69,2349,0.399,0.334,0.493,0.793,371.0,252.0,91.0,21.0,106.0,17.0
23,D.J. Augustin,81,2269,0.47,0.421,0.511,0.866,203.0,426.0,52.0,4.0,128.0,17.0
24,Deandre Ayton,71,2183,0.585,0.0,0.588,0.746,729.0,125.0,61.0,67.0,126.0,17.0
25,Dwayne Bacon,43,759,0.475,0.437,0.494,0.739,89.0,47.0,12.0,5.0,18.0,17.0
26,Marvin Bagley III,62,1567,0.504,0.313,0.534,0.691,471.0,62.0,33.0,59.0,98.0,17.0
27,Ron Baker,15,152,0.2,0.077,0.429,0.833,11.0,15.0,6.0,1.0,5.0,17.0
28,Wade Baldwin,16,94,0.303,0.222,0.333,0.727,15.0,12.0,1.0,2.0,14.0,17.0
29,Lonzo Ball,47,1423,0.406,0.329,0.482,0.417,251.0,255.0,69.0,19.0,103.0,17.0
30,Mo Bamba,47,766,0.481,0.3,0.555,0.587,233.0,39.0,13.0,64.0,43.0,17.0
31,J.J. Barea,38,752,0.418,0.297,0.479,0.705,95.0,211.0,22.0,1.0,72.0,17.0
32,Harrison Barnes,77,2533,0.42,0.395,0.439,0.824,361.0,115.0,50.0,13.0,98.0,17.0
33,Will Barton,43,1189,0.402,0.342,0.447,0.77,199.0,124.0,18.0,22.0,65.0,17.0
34,Keita Bates-Diop,30,503,0.423,0.25,0.522,0.643,83.0,17.0,18.0,14.0,14.0,17.0
35,Nicolas Batum,75,2354,0.45,0.389,0.519,0.865,390.0,247.0,71.0,43.0,117.0,17.0
36,Jerryd Bayless,34,657,0.357,0.296,0.402,0.571,62.0,119.0,18.0,2.0,32.0,17.0
37,Aron Baynes,51,821,0.471,0.344,0.519,0.855,240.0,57.0,12.0,34.0,40.0,17.0
38,Kent Bazemore,67,1643,0.402,0.32,0.465,0.726,261.0,152.0,89.0,42.0,121.0,17.0
39,Bradley Beal,82,3028,0.475,0.351,0.548,0.808,411.0,448.0,121.0,58.0,224.0,17.0
40,Malik Beasley,81,1879,0.474,0.402,0.56,0.848,200.0,97.0,55.0,10.0,55.0,17.0
41,Michael Beasley,26,277,0.49,0.176,0.529,0.718,60.0,25.0,9.0,10.0,27.0,17.0
42,Marco Belinelli,79,1815,0.413,0.372,0.468,0.903,198.0,132.0,35.0,8.0,72.0,17.0
43,Jordan Bell,68,788,0.516,0.0,0.521,0.61,184.0,76.0,20.0,51.0,42.0,17.0
44,DeAndre' Bembry,82,1931,0.446,0.289,0.508,0.64,358.0,202.0,105.0,41.0,142.0,17.0
45,Dragan Bender,46,826,0.447,0.218,0.688,0.593,183.0,56.0,18.0,22.0,37.0,17.0
46,Dairis Bertāns,12,167,0.255,0.294,0.154,0.0,9.0,10.0,1.0,0.0,2.0,17.0
47,Dāvis Bertāns,76,1632,0.45,0.429,0.513,0.883,264.0,100.0,35.0,33.0,43.0,17.0
48,Patrick Beverley,78,2137,0.407,0.397,0.421,0.78,388.0,300.0,67.0,43.0,85.0,17.0
49,Khem Birch,50,643,0.603,0.0,0.607,0.699,190.0,38.0,18.0,29.0,20.0,17.0
50,Bismack Biyombo,54,783,0.571,0.0,0.571,0.637,247.0,33.0,11.0,41.0,34.0,17.0
51,Nemanja Bjelica,77,1788,0.479,0.401,0.539,0.761,444.0,147.0,54.0,56.0,82.0,17.0
52,Antonio Blakeney,57,829,0.419,0.396,0.426,0.658,106.0,42.0,12.0,9.0,35.0,17.0
53,Eric Bledsoe,78,2272,0.484,0.329,0.582,0.75,362.0,430.0,116.0,29.0,165.0,17.0
54,Jaron Blossomgame,27,439,0.443,0.256,0.552,0.769,98.0,13.0,7.0,8.0,11.0,17.0
55,Bogdan Bogdanović,70,1947,0.418,0.36,0.462,0.827,243.0,267.0,72.0,15.0,117.0,17.0
56,Bojan Bogdanović,81,2573,0.497,0.425,0.538,0.807,333.0,161.0,69.0,1.0,134.0,17.0
57,Andrew Bogut,11,134,0.5,0.0,0.5,1.0,55.0,11.0,3.0,8.0,8.0,17.0
58,Jonah Bolden,44,639,0.494,0.354,0.697,0.481,165.0,40.0,17.0,39.0,36.0,17.0
59,Isaac Bonga,22,120,0.152,0.0,0.2,0.6,25.0,15.0,9.0,4.0,6.0,17.0
60,Devin Booker,64,2242,0.467,0.326,0.536,0.866,265.0,433.0,56.0,13.0,264.0,17.0
61,Chris Boucher,28,163,0.447,0.324,0.564,0.867,56.0,2.0,6.0,24.0,7.0,17.0
62,Avery Bradley,63,1905,0.408,0.351,0.446,0.86,175.0,152.0,41.0,16.0,89.0,17.0
63,Tony Bradley,3,36,0.5,0.0,0.5,0.5,15.0,1.0,2.0,2.0,3.0,17.0
64,Corey Brewer,31,492,0.431,0.318,0.494,0.721,76.0,39.0,32.0,7.0,19.0,17.0
65,Mikal Bridges,82,2417,0.43,0.335,0.548,0.805,264.0,173.0,129.0,38.0,70.0,17.0
66,Miles Bridges,80,1696,0.464,0.325,0.553,0.753,323.0,95.0,55.0,49.0,50.0,17.0
67,Isaiah Briscoe,39,559,0.399,0.324,0.423,0.577,74.0,87.0,11.0,2.0,31.0,17.0
68,Ryan Broekhoff,42,453,0.452,0.409,0.576,0.789,63.0,22.0,6.0,4.0,16.0,17.0
69,Malcolm Brogdon,64,1832,0.505,0.426,0.544,0.928,288.0,205.0,46.0,13.0,91.0,17.0
70,Dillon Brooks,18,330,0.402,0.375,0.415,0.733,31.0,16.0,10.0,4.0,19.0,17.0
71,MarShon Brooks,29,387,0.45,0.278,0.53,0.697,45.0,25.0,9.0,4.0,21.0,17.0
72,Bruce Brown,74,1449,0.398,0.258,0.457,0.75,185.0,91.0,40.0,36.0,46.0,17.0
73,Jaylen Brown,74,1913,0.465,0.344,0.529,0.658,313.0,100.0,69.0,32.0,99.0,17.0
74,Lorenzo Brown,26,212,0.324,0.214,0.395,1.0,31.0,28.0,12.0,5.0,16.0,17.0
75,Sterling Brown,58,1034,0.465,0.361,0.558,0.69,184.0,84.0,25.0,8.0,46.0,17.0
76,Troy Brown Jr.,52,730,0.415,0.319,0.455,0.681,145.0,80.0,21.0,5.0,30.0,17.0
77,Jalen Brunson,73,1591,0.467,0.348,0.523,0.725,169.0,230.0,37.0,4.0,88.0,17.0
78,Thomas Bryant,72,1496,0.616,0.333,0.685,0.781,454.0,92.0,25.0,67.0,60.0,17.0
79,Reggie Bullock,63,1879,0.412,0.377,0.483,0.859,173.0,129.0,40.0,12.0,65.0,17.0
80,Trey Burke,58,1125,0.431,0.352,0.463,0.831,99.0,159.0,33.0,7.0,49.0,17.0
81,Alec Burks,64,1375,0.405,0.363,0.428,0.823,235.0,128.0,39.0,21.0,65.0,17.0
82,Deonte Burton,32,240,0.402,0.296,0.455,0.667,28.0,9.0,6.0,8.0,9.0,17.0
83,Jimmy Butler,65,2185,0.462,0.347,0.494,0.855,342.0,263.0,123.0,39.0,95.0,17.0
84,Bruno Caboclo,34,800,0.427,0.369,0.505,0.84,158.0,50.0,14.0,33.0,38.0,17.0
85,José Calderón,49,632,0.375,0.246,0.492,0.818,60.0,115.0,16.0,3.0,35.0,17.0
86,Kentavious Caldwell-Pope,82,2035,0.43,0.347,0.542,0.867,238.0,110.0,73.0,13.0,65.0,17.0
87,Isaiah Canaan,30,629,0.39,0.354,0.441,0.792,58.0,84.0,14.0,2.0,35.0,17.0
88,Clint Capela,67,2249,0.648,0.0,0.648,0.636,848.0,96.0,44.0,102.0,94.0,17.0
89,DeMarre Carroll,67,1703,0.395,0.342,0.457,0.76,349.0,85.0,31.0,10.0,73.0,17.0
90,Jevon Carter,39,577,0.303,0.333,0.265,0.813,66.0,69.0,26.0,11.0,33.0,17.0
91,Vince Carter,76,1330,0.419,0.389,0.48,0.712,194.0,87.0,44.0,27.0,48.0,17.0
92,Wendell Carter Jr.,44,1110,0.485,0.188,0.513,0.795,307.0,78.0,26.0,58.0,65.0,17.0
93,Michael Carter-Williams,28,372,0.374,0.263,0.424,0.604,70.0,70.0,20.0,15.0,20.0,17.0
94,Alex Caruso,25,531,0.445,0.48,0.431,0.797,67.0,77.0,24.0,9.0,42.0,17.0
95,Omri Casspi,36,520,0.534,0.349,0.602,0.672,115.0,26.0,20.0,9.0,23.0,17.0
96,Willie Cauley-Stein,81,2213,0.556,0.5,0.556,0.551,678.0,194.0,96.0,51.0,84.0,17.0
97,Troy Caupain,4,16,0.5,0.667,0.4,0.0,3.0,4.0,1.0,0.0,0.0,17.0
98,Tyler Cavanaugh,11,39,0.3,0.2,0.4,1.0,8.0,1.0,0.0,0.0,1.0,17.0
99,Tyson Chandler,55,875,0.616,0.0,0.622,0.586,307.0,37.0,21.0,23.0,42.0,17.0
100,Wilson Chandler,51,1177,0.418,0.373,0.478,0.72,215.0,82.0,25.0,21.0,46.0,17.0
101,Joe Chealey,1,8,0.333,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,17.0
102,Chris Chiozza,7,33,0.25,0.4,0.0,0.0,4.0,4.0,1.0,1.0,1.0,17.0
103,Marquese Chriss,43,499,0.372,0.222,0.472,0.711,142.0,22.0,17.0,11.0,36.0,17.0
104,Gary Clark,51,641,0.331,0.297,0.692,1.0,116.0,18.0,20.0,26.0,7.0,17.0
105,Ian Clark,60,973,0.394,0.327,0.47,0.892,89.0,94.0,22.0,8.0,58.0,17.0
106,Jordan Clarkson,81,2214,0.448,0.324,0.524,0.844,270.0,196.0,57.0,13.0,135.0,17.0
107,John Collins,61,1829,0.56,0.348,0.609,0.763,595.0,121.0,22.0,39.0,120.0,17.0
108,Zach Collins,77,1356,0.473,0.331,0.534,0.746,324.0,71.0,25.0,66.0,77.0,17.0
109,Darren Collison,76,2143,0.467,0.407,0.492,0.832,232.0,459.0,110.0,9.0,125.0,17.0
110,Bonzie Colson,8,98,0.333,0.238,0.444,0.889,30.0,3.0,5.0,1.0,3.0,17.0
111,Mike Conley,70,2342,0.438,0.364,0.483,0.845,239.0,449.0,94.0,22.0,130.0,17.0
112,Pat Connaughton,61,1261,0.466,0.33,0.647,0.725,258.0,122.0,33.0,25.0,33.0,17.0
113,Quinn Cook,74,1059,0.465,0.405,0.515,0.769,157.0,116.0,20.0,3.0,50.0,17.0
114,DeMarcus Cousins,30,771,0.48,0.274,0.551,0.736,247.0,107.0,40.0,44.0,72.0,17.0
115,Robert Covington,35,1203,0.431,0.378,0.518,0.764,193.0,46.0,74.0,47.0,47.0,17.0
116,Allen Crabbe,43,1133,0.367,0.378,0.342,0.732,148.0,46.0,23.0,13.0,46.0,17.0
117,Torrey Craig,75,1503,0.442,0.324,0.569,0.7,263.0,72.0,37.0,46.0,44.0,17.0
118,Jamal Crawford,64,1211,0.397,0.332,0.453,0.845,85.0,229.0,33.0,12.0,99.0,17.0
119,Mitch Creek,5,48,0.5,0.0,0.571,0.714,12.0,6.0,2.0,0.0,1.0,17.0
120,Jae Crowder,80,2166,0.399,0.331,0.527,0.721,384.0,133.0,64.0,31.0,85.0,17.0
121,Dante Cunningham,64,928,0.475,0.462,0.484,0.778,188.0,50.0,27.0,13.0,22.0,17.0
122,Seth Curry,74,1399,0.456,0.45,0.463,0.846,120.0,66.0,36.0,12.0,61.0,17.0
123,Stephen Curry,69,2331,0.472,0.437,0.525,0.916,369.0,361.0,92.0,25.0,192.0,17.0
124,Troy Daniels,51,760,0.411,0.381,0.481,0.783,73.0,26.0,26.0,5.0,27.0,17.0
125,Anthony Davis,56,1850,0.517,0.331,0.547,0.794,672.0,218.0,88.0,135.0,112.0,17.0
126,Deyonta Davis,9,118,0.682,0.0,0.714,0.6,36.0,5.0,3.0,5.0,3.0,17.0
127,Ed Davis,81,1446,0.616,0.0,0.62,0.617,694.0,61.0,35.0,33.0,64.0,17.0
128,Tyler Davis,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0
129,Dewayne Dedmon,64,1609,0.492,0.382,0.57,0.814,480.0,90.0,69.0,71.0,84.0,17.0
130,Sam Dekker,47,788,0.469,0.306,0.521,0.609,148.0,46.0,38.0,7.0,24.0,17.0
131,Ángel Delgado,2,15,0.2,0.0,0.2,0.5,4.0,0.0,1.0,0.0,0.0,17.0
132,Matthew Dellavedova,48,812,0.405,0.338,0.482,0.808,77.0,181.0,14.0,2.0,68.0,17.0
133,Luol Deng,22,392,0.5,0.318,0.608,0.714,73.0,18.0,15.0,8.0,14.0,17.0
134,DeMar DeRozan,77,2688,0.481,0.156,0.492,0.83,462.0,475.0,86.0,36.0,199.0,17.0
135,Marcus Derrickson,11,67,0.485,0.5,0.462,0.8,13.0,1.0,0.0,1.0,3.0,17.0
136,Cheick Diallo,64,896,0.62,0.25,0.625,0.746,332.0,33.0,29.0,33.0,49.0,17.0
137,Hamidou Diallo,51,526,0.455,0.167,0.504,0.61,97.0,17.0,21.0,10.0,23.0,17.0
138,Gorgui Dieng,76,1031,0.501,0.339,0.53,0.83,311.0,72.0,48.0,41.0,57.0,17.0
139,Spencer Dinwiddie,68,1914,0.442,0.335,0.528,0.806,166.0,311.0,40.0,17.0,152.0,17.0
140,Donte DiVincenzo,27,411,0.403,0.265,0.683,0.75,65.0,31.0,13.0,6.0,19.0,17.0
141,Luka Dončić,72,2318,0.427,0.327,0.503,0.713,563.0,429.0,77.0,25.0,247.0,17.0
142,Tyler Dorsey,48,698,0.405,0.333,0.477,0.623,113.0,56.0,14.0,2.0,27.0,17.0
143,Damyean Dotson,73,2004,0.415,0.368,0.461,0.745,262.0,135.0,58.0,10.0,71.0,17.0
144,PJ Dozier,6,51,0.381,0.25,0.462,0.5,17.0,5.0,2.0,0.0,0.0,17.0
145,Goran Dragić,36,991,0.413,0.348,0.454,0.782,111.0,174.0,30.0,5.0,71.0,17.0
146,Andre Drummond,79,2647,0.533,0.132,0.548,0.59,1232.0,112.0,136.0,138.0,175.0,17.0
147,Jared Dudley,59,1220,0.423,0.351,0.545,0.696,155.0,83.0,36.0,16.0,43.0,17.0
148,Kris Dunn,46,1389,0.425,0.354,0.441,0.797,187.0,277.0,68.0,21.0,104.0,17.0
149,Kevin Durant,78,2702,0.521,0.353,0.587,0.885,497.0,457.0,58.0,84.0,225.0,17.0
150,Trevon Duval,3,6,0.667,1.0,0.5,0.0,1.0,2.0,0.0,0.0,0.0,17.0
151,Vince Edwards,2,16,0.25,0.25,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0
152,Henry Ellenson,19,259,0.411,0.447,0.386,0.76,66.0,16.0,7.0,2.0,9.0,17.0
153,Wayne Ellington,53,1297,0.403,0.371,0.541,0.796,107.0,72.0,54.0,6.0,40.0,17.0
154,Joel Embiid,64,2154,0.484,0.3,0.535,0.804,871.0,234.0,46.0,122.0,226.0,17.0
155,James Ennis,58,1230,0.469,0.353,0.601,0.716,182.0,41.0,41.0,23.0,34.0,17.0
156,Drew Eubanks,23,113,0.577,0.0,0.577,0.846,34.0,7.0,2.0,5.0,8.0,17.0
157,Jacob Evans,30,204,0.34,0.267,0.368,0.0,25.0,23.0,5.0,3.0,11.0,17.0
158,Jawun Evans,8,65,0.214,0.0,0.273,0.0,12.0,10.0,3.0,0.0,6.0,17.0
159,Tyreke Evans,69,1402,0.389,0.356,0.405,0.719,201.0,166.0,58.0,18.0,118.0,17.0
160,Dante Exum,42,664,0.419,0.29,0.464,0.791,68.0,110.0,14.0,5.0,52.0,17.0
161,Kenneth Faried,37,728,0.589,0.32,0.617,0.646,250.0,20.0,17.0,23.0,33.0,17.0
162,Derrick Favors,76,1766,0.586,0.218,0.64,0.675,560.0,89.0,56.0,106.0,84.0,17.0
163,Cristiano Felício,60,746,0.531,0.0,0.543,0.685,218.0,37.0,11.0,7.0,33.0,17.0
164,Raymond Felton,33,379,0.407,0.328,0.473,0.923,34.0,52.0,10.0,6.0,14.0,17.0
165,Terrance Ferguson,74,1931,0.429,0.366,0.56,0.725,141.0,72.0,40.0,16.0,47.0,17.0
166,Yogi Ferrell,71,1067,0.435,0.362,0.488,0.896,109.0,137.0,36.0,4.0,40.0,17.0
167,Dorian Finney-Smith,81,1985,0.432,0.311,0.544,0.709,389.0,95.0,69.0,36.0,74.0,17.0
168,Bryn Forbes,82,2293,0.456,0.426,0.489,0.885,239.0,175.0,45.0,4.0,80.0,17.0
169,Evan Fournier,81,2553,0.438,0.34,0.509,0.806,258.0,295.0,71.0,12.0,154.0,17.0
170,De'Aaron Fox,81,2546,0.458,0.371,0.482,0.727,304.0,590.0,133.0,45.0,227.0,17.0
171,Melvin Frazier,10,44,0.333,0.0,0.467,0.25,5.0,1.0,1.0,0.0,1.0,17.0
172,Tim Frazier,59,1120,0.444,0.366,0.494,0.759,168.0,248.0,30.0,5.0,76.0,17.0
173,Jimmer Fredette,6,65,0.276,0.0,0.5,1.0,7.0,8.0,3.0,0.0,5.0,17.0
174,Channing Frye,36,341,0.368,0.405,0.289,0.786,52.0,20.0,6.0,5.0,13.0,17.0
175,Markelle Fultz,19,427,0.419,0.286,0.433,0.568,70.0,59.0,17.0,5.0,25.0,17.0
176,Danilo Gallinari,68,2059,0.463,0.433,0.484,0.904,417.0,178.0,49.0,23.0,99.0,17.0
177,Langston Galloway,80,1745,0.388,0.355,0.449,0.844,171.0,85.0,37.0,8.0,24.0,17.0
178,Billy Garrett,4,63,0.407,0.0,0.579,1.0,3.0,7.0,1.0,1.0,2.0,17.0
179,Marc Gasol,79,2436,0.448,0.363,0.487,0.759,627.0,349.0,84.0,86.0,155.0,17.0
180,Pau Gasol,30,360,0.447,0.462,0.444,0.7,137.0,52.0,5.0,15.0,16.0,17.0
181,Rudy Gay,69,1842,0.504,0.402,0.537,0.816,470.0,182.0,54.0,34.0,114.0,17.0
182,Paul George,77,2841,0.438,0.386,0.484,0.839,628.0,318.0,170.0,34.0,205.0,17.0
183,Taj Gibson,70,1686,0.566,0.324,0.583,0.757,458.0,84.0,53.0,39.0,73.0,17.0
184,Harry Giles,58,820,0.503,0.0,0.512,0.637,222.0,85.0,31.0,22.0,73.0,17.0
185,Shai Gilgeous-Alexander,82,2174,0.476,0.367,0.503,0.8,232.0,270.0,96.0,45.0,141.0,17.0
186,Rudy Gobert,81,2577,0.669,0.0,0.669,0.636,1041.0,161.0,66.0,187.0,130.0,17.0
187,Brandon Goodwin,16,57,0.261,0.333,0.235,0.818,3.0,14.0,0.0,0.0,3.0,17.0
188,Aaron Gordon,78,2633,0.449,0.349,0.499,0.731,574.0,289.0,57.0,56.0,162.0,17.0
189,Eric Gordon,68,2158,0.409,0.36,0.497,0.783,148.0,129.0,41.0,27.0,90.0,17.0
190,Marcin Gortat,47,751,0.532,0.0,0.532,0.729,261.0,65.0,6.0,24.0,50.0,17.0
191,Devonte' Graham,46,676,0.343,0.281,0.421,0.761,63.0,121.0,23.0,2.0,30.0,17.0
192,Treveon Graham,35,715,0.335,0.297,0.413,0.818,107.0,34.0,13.0,7.0,17.0,17.0
193,Jerami Grant,80,2612,0.497,0.392,0.555,0.71,417.0,79.0,61.0,100.0,67.0,17.0
194,Jerian Grant,60,939,0.418,0.364,0.473,0.65,98.0,156.0,44.0,6.0,51.0,17.0
195,Donte Grantham,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
196,Danny Green,80,2216,0.465,0.455,0.487,0.841,317.0,126.0,73.0,53.0,75.0,17.0
197,Draymond Green,66,2065,0.445,0.285,0.549,0.692,481.0,454.0,95.0,70.0,169.0,17.0
198,Gerald Green,73,1473,0.4,0.354,0.547,0.838,182.0,40.0,33.0,27.0,55.0,17.0
199,JaMychal Green,65,1371,0.483,0.403,0.53,0.792,409.0,50.0,45.0,34.0,87.0,17.0
200,Jeff Green,77,2097,0.475,0.347,0.586,0.888,309.0,137.0,43.0,39.0,101.0,17.0
201,Blake Griffin,75,2622,0.462,0.362,0.525,0.753,565.0,402.0,52.0,28.0,253.0,17.0
202,Daniel Hamilton,19,204,0.383,0.348,0.405,0.5,47.0,22.0,6.0,1.0,16.0,17.0
203,Dusty Hannahs,2,26,0.25,0.0,0.429,1.0,1.0,5.0,1.0,0.0,1.0,17.0
204,Tim Hardaway Jr.,65,2057,0.393,0.34,0.442,0.841,222.0,159.0,54.0,8.0,105.0,17.0
205,James Harden,78,2867,0.442,0.368,0.528,0.879,518.0,586.0,158.0,58.0,387.0,17.0
206,Maurice Harkless,60,1415,0.487,0.275,0.582,0.671,269.0,74.0,67.0,53.0,45.0,17.0
207,Montrezl Harrell,82,2158,0.615,0.176,0.623,0.643,535.0,162.0,71.0,110.0,132.0,17.0
208,Devin Harris,68,1071,0.38,0.31,0.476,0.761,112.0,122.0,35.0,16.0,56.0,17.0
209,Gary Harris,57,1639,0.424,0.339,0.476,0.799,160.0,127.0,55.0,19.0,68.0,17.0
210,Joe Harris,76,2293,0.5,0.474,0.528,0.827,291.0,181.0,38.0,17.0,121.0,17.0
211,Tobias Harris,82,2847,0.487,0.397,0.528,0.866,645.0,229.0,51.0,37.0,151.0,17.0
212,Andrew Harrison,17,187,0.302,0.2,0.393,0.944,20.0,24.0,4.0,2.0,12.0,17.0
213,Shaquille Harrison,73,1430,0.432,0.27,0.475,0.667,222.0,139.0,89.0,30.0,60.0,17.0
214,Josh Hart,67,1715,0.407,0.336,0.511,0.688,248.0,93.0,64.0,40.0,58.0,17.0
215,Isaiah Hartenstein,28,221,0.488,0.333,0.514,0.786,47.0,15.0,7.0,12.0,13.0,17.0
216,Udonis Haslem,10,74,0.333,0.0,0.524,0.75,27.0,2.0,0.0,0.0,3.0,17.0
217,Gordon Hayward,72,1863,0.466,0.333,0.542,0.834,322.0,244.0,62.0,23.0,105.0,17.0
218,John Henson,14,188,0.463,0.355,0.556,0.6,71.0,14.0,7.0,11.0,12.0,17.0
219,Juan Hernangómez,70,1358,0.439,0.365,0.541,0.767,265.0,55.0,27.0,24.0,37.0,17.0
220,Willy Hernangómez,58,812,0.519,0.385,0.539,0.694,311.0,60.0,16.0,20.0,58.0,17.0
221,Mario Hezonja,58,1206,0.412,0.276,0.478,0.763,239.0,88.0,57.0,8.0,88.0,17.0
222,Isaiah Hicks,3,32,0.5,0.0,0.5,0.8,7.0,2.0,1.0,3.0,1.0,17.0
223,Buddy Hield,82,2615,0.458,0.427,0.487,0.886,412.0,205.0,58.0,33.0,146.0,17.0
224,Haywood Highsmith,5,40,0.4,0.2,0.6,0.0,5.0,2.0,1.0,0.0,1.0,17.0
225,Nenê,42,546,0.517,0.0,0.531,0.66,123.0,26.0,18.0,15.0,11.0,17.0
226,George Hill,60,1302,0.452,0.314,0.547,0.824,148.0,135.0,52.0,8.0,51.0,17.0
227,Solomon Hill,44,878,0.382,0.317,0.468,0.719,133.0,55.0,23.0,10.0,31.0,17.0
228,Aaron Holiday,50,646,0.401,0.339,0.459,0.82,67.0,87.0,21.0,13.0,40.0,17.0
229,Jrue Holiday,67,2402,0.472,0.325,0.539,0.768,334.0,518.0,109.0,54.0,210.0,17.0
230,Justin Holiday,82,2607,0.386,0.348,0.442,0.896,323.0,146.0,121.0,36.0,104.0,17.0
231,John Holland,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
232,Rondae Hollis-Jefferson,59,1234,0.411,0.184,0.436,0.645,310.0,96.0,44.0,27.0,68.0,17.0
233,Richaun Holmes,70,1184,0.608,0.0,0.608,0.731,331.0,60.0,42.0,79.0,52.0,17.0
234,Rodney Hood,72,1893,0.435,0.356,0.478,0.884,157.0,126.0,59.0,12.0,55.0,17.0
235,Al Horford,68,1973,0.535,0.36,0.604,0.821,458.0,283.0,59.0,86.0,102.0,17.0
236,Danuel House,39,979,0.468,0.416,0.595,0.789,140.0,40.0,21.0,11.0,35.0,17.0
237,Dwight Howard,9,230,0.623,0.0,0.623,0.604,83.0,4.0,7.0,4.0,16.0,17.0
238,Kevin Huerter,75,2048,0.419,0.385,0.457,0.732,245.0,214.0,65.0,25.0,109.0,17.0
239,Isaac Humphries,5,56,0.286,0.273,0.3,0.0,11.0,0.0,1.0,0.0,0.0,17.0
240,R.J. Hunter,1,26,0.462,0.4,0.667,0.5,3.0,3.0,1.0,0.0,0.0,17.0
241,Chandler Hutchison,44,895,0.459,0.28,0.516,0.605,185.0,34.0,23.0,6.0,25.0,17.0
242,Serge Ibaka,74,2010,0.529,0.29,0.586,0.763,601.0,99.0,29.0,103.0,114.0,17.0
243,Andre Iguodala,68,1578,0.5,0.333,0.652,0.582,252.0,216.0,61.0,51.0,52.0,17.0
244,Ersan İlyasova,67,1231,0.438,0.363,0.493,0.824,302.0,52.0,32.0,20.0,48.0,17.0
245,Joe Ingles,82,2568,0.448,0.391,0.533,0.707,330.0,469.0,98.0,20.0,193.0,17.0
246,Andre Ingram,4,15,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,17.0
247,Brandon Ingram,52,1760,0.497,0.33,0.521,0.675,267.0,154.0,28.0,31.0,129.0,17.0
248,Kyrie Irving,67,2214,0.487,0.401,0.533,0.873,335.0,464.0,103.0,34.0,172.0,17.0
249,Jonathan Isaac,75,1996,0.429,0.323,0.51,0.815,411.0,80.0,59.0,98.0,75.0,17.0
250,Wesley Iwundu,68,1233,0.412,0.367,0.431,0.816,184.0,73.0,28.0,22.0,44.0,17.0
