,Name,Position,Team,Salary
1538,Elie Okobo, G,Brooklyn Nets,1416852
1539,Dairis Bertans, G,New Orleans Pelicans,1416852
1540,Tarik Phillip, G,Washington Wizards,1416842
1541,Kyle Collinsworth, G,Utah Jazz,1378242
1542,Jaylen Morris, G,Milwaukee Bucks,1378242
1543,David Stockton, G,Los Angeles Lakers,1378242
1544,Aaron Jackson, F,Houston Rockets,1378242
1545,Vernon Carey Jr., C,Charlotte Hornets,1350000
1546,Ben Moore, F,San Antonio Spurs,1349383
1547,Xavier Tillman, C,Memphis Grizzlies,1300000
1548,Alex Len, C,Washington Wizards,1265372
1549,Noah Vonleh, F,Brooklyn Nets,1087776
1550,Nick Richards, C,Charlotte Hornets,1000000
1551,Ron Baker, G,Washington Wizards,948580
1552,Elijah Hughes,SF,Utah Jazz,898310
1553,Tre Jones,PG,San Antonio Spurs,898310
1554,Isaiah Joe,SG,Philadelphia 76ers,898310
1555,Sam Merrill,SG,Milwaukee Bucks,898310
1556,Daniel Oturu, C,LA Clippers,898310
1557,Deividas Sirvydis,SG,Detroit Pistons,898310
1558,Andre Drummond, C,Los Angeles Lakers,794536
1559,Timothe Luwawu-Cabarrot,SG,Brooklyn Nets,654469
1560,Norvel Pelle,PF,New York Knicks,500000
1561,Jabari Parker,PF,Boston Celtics,430729
1562,Tyler Cook, F,Brooklyn Nets,396081
1563,Jimmer Fredette, G,Phoenix Suns,208509
1564,Mfiondu Kabengele, F,Cleveland Cavaliers,154433
1565,Paul Millsap,PF,Denver Nuggets,1000000
1566,Anthony Gill,PF,Washington Wizards,898310
1567,Stanton Kidd,SF,Utah Jazz,898310
1568,CJ Elleby,SG,Portland Trail Blazers,898310
1569,Jordan Nwora,SF,Milwaukee Bucks,898310
1570,Max Strus,SG,Miami Heat,898310
1571,Kenyon Martin Jr.,SF,Houston Rockets,898310
1572,Isaiah Briscoe, G,Orlando Magic,838464
1573,Blake Griffin,PF,Brooklyn Nets,776983
1574,Lamar Stevens,PF,Cleveland Cavaliers,652366
1575,Nemanja Bjelica, F,Miami Heat,432890
1576,Alize Johnson,PF,Brooklyn Nets,399591
1577,Dion Waiters, G,Los Angeles Lakers,375385
1578,Devonte' Graham,PG,Charlotte Hornets,163861
1579,Mike James,PG,Brooklyn Nets,39608
