,Name,Position,Team,Salary
333,Skal Labissiere, F,Portland Trail Blazers,1544951
334,Jake Layman,SF,Portland Trail Blazers,1544951
335,Wade Baldwin IV, G,Portland Trail Blazers,1544951
336,Andrew Harrison, G,New Orleans Pelicans,1544951
337,Dorian Finney-Smith,PF,Dallas Mavericks,1544951
338,Paul Zipser, F,Chicago Bulls,1544951
339,Willy Hernangomez, C,Charlotte Hornets,1544951
340,Kyle Kuzma,SF,Los Angeles Lakers,1689840
341,Derrick White,PG,San Antonio Spurs,1667160
342,Julyan Stone, G,Chicago Bulls,1656092
343,Josh Hart,SG,Los Angeles Lakers,1655160
344,Jacob Evans, G,Golden State Warriors,1644240
345,DeAndre' Bembry,SG,Atlanta Hawks,1634640
346,James Ennis III,SF,Philadelphia 76ers,1621415
347,Luke Kornet, C,New York Knicks,1619260
348,Richaun Holmes, C,Phoenix Suns,1600520
349,Dwight Buycks, G,Detroit Pistons,1600520
350,Jahlil Okafor, C,New Orleans Pelicans,1567707
351,Dejounte Murray,PG,San Antonio Spurs,1544951
352,Georgios Papagiannis, C,Portland Trail Blazers,1544951
353,Cheick Diallo, F,New Orleans Pelicans,1544951
354,Timothe Luwawu-Cabarrot,SG,Chicago Bulls,1544951
355,Ivica Zubac, C,LA Clippers,1544951
356,Malcolm Brogdon,PG,Milwaukee Bucks,1544951
357,Rodney McGruder,SG,Miami Heat,1544951
358,Quinn Cook,PG,Golden State Warriors,1544951
359,Wayne Selden, G,Chicago Bulls,1544951
360,Shelvin Mack, G,Charlotte Hornets,1512601
361,Georges Niang,SF,Utah Jazz,1512601
362,Quincy Pondexter, F,San Antonio Spurs,1512601
363,Derrick Jones Jr.,SF,Miami Heat,1512601
364,Amir Johnson, F,Philadelphia 76ers,1512601
365,Noah Vonleh, F,New York Knicks,1512601
366,Jamal Crawford, G,Phoenix Suns,1512601
367,Treveon Graham, F,Brooklyn Nets,1512601
368,Udonis Haslem,PF,Miami Heat,1512601
369,David Nwaba,SF,Cleveland Cavaliers,1512601
370,Gerald Green, G,Houston Rockets,1512601
371,Jonas Jerebko, F,Golden State Warriors,1512601
372,Zaza Pachulia, C,Detroit Pistons,1512601
373,Devin Harris, G,Dallas Mavericks,1512601
374,Ian Clark, G,New Orleans Pelicans,1512601
375,Vince Carter, G,Atlanta Hawks,1512601
376,Mitchell Robinson, C,New York Knicks,1485440
377,Dillon Brooks,SF,Memphis Grizzlies,1378242
378,Khem Birch, C,Orlando Magic,1378242
379,Royce O'Neale,PF,Utah Jazz,1378242
380,Alex Poythress, F,Atlanta Hawks,1544951
381,Omri Casspi, F,Memphis Grizzlies,1512601
382,Raymond Felton, G,Oklahoma City Thunder,1512601
383,Troy Williams, F,Sacramento Kings,1512601
384,Carmelo Anthony,PF,Houston Rockets,1512601
385,Derrick Rose,PG,Minnesota Timberwolves,1512601
386,Jeff Green,PF,Washington Wizards,1512601
387,Luol Deng, F,Minnesota Timberwolves,1512601
388,Isaiah Canaan, G,Milwaukee Bucks,1512601
389,Dwyane Wade, G,Miami Heat,1512601
390,Christian Wood, C,New Orleans Pelicans,1512601
391,Kevon Looney, C,Golden State Warriors,1512601
392,Jose Calderon, G,Detroit Pistons,1512601
393,JaVale McGee, C,Los Angeles Lakers,1512601
394,Channing Frye, F,Cleveland Cavaliers,1512601
395,Isaiah Thomas, G,Denver Nuggets,1512601
396,Svi Mykhailiuk,SG,Detroit Pistons,1487694
397,Tyler Dorsey, G,Memphis Grizzlies,1378242
398,Dakari Johnson, C,Memphis Grizzlies,1378242
399,Thomas Bryant, C,Washington Wizards,1378242
400,Brandon Paul, G,San Antonio Spurs,1378242
401,Abdel Nader,SF,Oklahoma City Thunder,1378242
402,Sindarius Thornwell, G,LA Clippers,1378242
403,Ivan Rabb,PF,Memphis Grizzlies,1378242
404,Rodney Purvis, G,Miami Heat,1378242
405,Zhou Qi, C,Houston Rockets,1378242
406,Jordan Bell, F,Golden State Warriors,1378242
407,Maxi Kleber,PF,Dallas Mavericks,1378242
408,Daniel Theis, C,Boston Celtics,1378242
409,Wes Iwundu,SF,Orlando Magic,1378242
410,Jabari Bird, G,Atlanta Hawks,1349464
411,Alfonzo McKinnie,SF,Golden State Warriors,1349383
412,Daniel Hamilton, F,Atlanta Hawks,1349383
413,Ryan Arcidiacono,PG,Chicago Bulls,1349383
414,Tyson Chandler, C,Los Angeles Lakers,1333140
415,Elie Okobo, G,Phoenix Suns,1238464
416,Okaro White, F,Washington Wizards,1187862
417,Melvin Frazier Jr., G,Orlando Magic,1050000
418,Isaac Bonga, G,Los Angeles Lakers,1000000
419,De'Anthony Melton,SG,Phoenix Suns,949000
420,Antonius Cleveland, G,Oklahoma City Thunder,1378242
421,Jawun Evans, G,Oklahoma City Thunder,1378242
422,Dwayne Bacon,SG,Charlotte Hornets,1378242
423,Frank Mason III, G,Sacramento Kings,1378242
424,Jaylen Morris, G,Milwaukee Bucks,1378242
425,David Stockton, G,Los Angeles Lakers,1378242
426,Sterling Brown,SF,Milwaukee Bucks,1378242
427,Frank Jackson,PG,New Orleans Pelicans,1378242
428,Damyean Dotson,SG,New York Knicks,1378242
429,Ike Anigbogu, C,Indiana Pacers,1378242
430,Semi Ojeleye,PF,Boston Celtics,1378242
431,Ben Moore, F,San Antonio Spurs,1349383
432,Monte Morris,PG,Denver Nuggets,1349383
433,Antonio Blakeney, G,Chicago Bulls,1349383
434,Tyrone Wallace,SG,LA Clippers,1349383
435,Shaquille Harrison, G,Chicago Bulls,1311265
436,Jalen Brunson,PG,Dallas Mavericks,1230000
437,Joakim Noah, C,Memphis Grizzlies,1093858
438,Nick Young, G,Denver Nuggets,1042584
439,Devonte' Graham,PG,Charlotte Hornets,988464
440,Austin Rivers, G,Houston Rockets,922943
441,Brad Wanamaker,PG,Boston Celtics,838464
442,Kenrich Williams,SF,New Orleans Pelicans,838464
443,Chimezie Metu,PF,San Antonio Spurs,838464
444,Ryan Broekhoff, G,Dallas Mavericks,838464
445,Alize Johnson,PF,Indiana Pacers,838464
446,Jarred Vanderbilt,PF,Denver Nuggets,838464
447,Hamidou Diallo,SG,Oklahoma City Thunder,838464
448,Patrick McCaw,SF,Toronto Raptors,777665
449,Brandon Goodwin,PG,Denver Nuggets,630032
450,Bruno Caboclo, F,Memphis Grizzlies,522151
451,Salah Mejri, C,Dallas Mavericks,512746
452,Jeremy Lin, G,Toronto Raptors,487109
453,John Jenkins, G,Washington Wizards,486520
454,Malcolm Miller, F,Toronto Raptors,457418
455,Henry Ellenson,PF,New York Knicks,341831
456,Andrew Bogut, C,Golden State Warriors,307648
457,Danuel House Jr.,SF,Houston Rockets,247827
458,Tim Frazier, G,New Orleans Pelicans,196553
459,Ray Spalding, F,Phoenix Suns,184746
460,Ron Baker, G,Washington Wizards,948580
461,Chasson Randle,PG,Washington Wizards,869094
462,Gary Trent Jr.,SG,Portland Trail Blazers,838464
463,Keita Bates-Diop,SF,Minnesota Timberwolves,838464
464,Jevon Carter,PG,Memphis Grizzlies,838464
465,Isaiah Briscoe, G,Orlando Magic,838464
466,Bruce Brown,SF,Detroit Pistons,838464
467,Khyri Thomas, F,Detroit Pistons,838464
468,Isaiah Hartenstein, C,Houston Rockets,838464
469,Kenneth Faried, F,Houston Rockets,683661
470,Gary Clark,SF,Houston Rockets,596873
471,Wesley Matthews,SG,Indiana Pacers,512746
472,Nik Stauskas, G,Cleveland Cavaliers,504200
473,Enes Kanter, C,Portland Trail Blazers,487109
474,Chris Boucher,PF,Toronto Raptors,457418
475,Markieff Morris,PF,Oklahoma City Thunder,427288
476,Pau Gasol,PF,Milwaukee Bucks,333285
477,Jaylen Adams, G,Atlanta Hawks,270014
478,Jimmer Fredette, G,Phoenix Suns,208509
479,Dairis Bertans, G,New Orleans Pelicans,194220
480,Cameron Reynolds,SF,Minnesota Timberwolves,108953
481,JaKarr Sampson,SF,Chicago Bulls,85458
482,Greg Monroe, C,Philadelphia 76ers,59820
483,Tyler Zeller, C,Memphis Grizzlies,59820
484,Isaac Humphries, C,Atlanta Hawks,47371
485,Billy Garrett Jr., G,New York Knicks,42634
486,Deyonta Davis, F,Atlanta Hawks,25367
487,Yante Maten, F,Miami Heat,18948
488,Jordan McRae, G,Washington Wizards,17092
489,Tarik Phillip, G,Washington Wizards,9474
490,Theo Pinson,SG,Brooklyn Nets,4737
491,Deonte Burton, G,Oklahoma City Thunder,151587
492,Chris Chiozza,PG,Houston Rockets,90005
493,Donatas Motiejunas, F,San Antonio Spurs,59820
494,Michael Carter-Williams,PG,Orlando Magic,59820
495,Jemerrio Jones, F,Los Angeles Lakers,52108
496,Mitchell Creek, G,Minnesota Timberwolves,47371
497,BJ Johnson, F,Sacramento Kings,42634
498,Michael Frazier II, G,Houston Rockets,23685
499,Eric Moreland, C,Phoenix Suns,17092
500,Jonathan Gibson, G,Boston Celtics,17092
501,Duncan Robinson,SG,Miami Heat,9474
502,Kendrick Nunn,SG,Miami Heat,4737
503,Russell Westbrook,PG,Houston Rockets,38506482
504,James Harden,SG,Houston Rockets,38199000
505,John Wall,PG,Houston Rockets,38199000
506,Kyle Lowry,PG,Toronto Raptors,34996296
507,Kemba Walker,PG,Boston Celtics,32742000
508,Jimmy Butler,SF,Miami Heat,32742000
509,Klay Thompson,SG,Golden State Warriors,32742000
510,Mike Conley,PG,Utah Jazz,32511624
511,Khris Middleton,SF,Milwaukee Bucks,30603448
512,Paul Millsap,PF,Denver Nuggets,30350000
513,Kevin Love,PF,Cleveland Cavaliers,28942830
514,Al Horford, C,Philadelphia 76ers,28000000
515,CJ McCollum,SG,Portland Trail Blazers,27556959
516,Andrew Wiggins,SF,Golden State Warriors,27504630
517,Devin Booker,SG,Phoenix Suns,27285000
518,Karl-Anthony Towns, C,Minnesota Timberwolves,27285000
519,Otto Porter Jr.,SF,Chicago Bulls,27250575
520,Andre Drummond, C,Cleveland Cavaliers,27093019
